CLF Configuration,precision-train,recall-train,specificity-train,fscore-train,accuracy-train,misclassified-train,precision-val,recall-val,specificity-val,fscore-val,accuracy-val,misclassified-val
dummy_random,33.5964,33.5982,49.9947,33.5928,33.6024,3701.0,32.3862,32.3872,50.0018,32.3835,32.3849,1616.0
dummy most frequent,11.1948,33.3333,33.3333,16.7607,33.5845,3702.0,11.2692,33.3333,33.3333,16.8439,33.8075,1582.0
AdaBoostClassifier,40.3309,40.4094,50.0,40.2956,40.4198,3321.0,32.5515,32.5195,49.9168,32.4688,32.5105,1613.0
ExtraTreesClassifier,100.0,100.0,,100.0,100.0,0.0,35.0592,35.0897,50.012,35.0611,35.0628,1552.0
RandomForectClassifier,100.0,100.0,,100.0,100.0,0.0,33.7951,33.9036,50.013,33.78,33.8494,1581.0
XGBoost,98.1332,98.1338,49.9607,98.1334,98.1342,104.0,32.7702,32.7576,49.9869,32.7595,32.7615,1607.0
